#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
647,купить ниссан х трейл,70%,да,99%,1,
648,фото мерседес,10%,да,15%,-1,
649,омега опель,30%,да,29%,-1,
650,geely x7 emgrand,10%,да,33%,-1,
651,грейт вол пикап,20%,да,44%,0,
652,фольксваген б6 пассат,20%,да,24%,-1,
653,экус хендай,20%,да,39%,0,
654,митсубиси кольт,40%,да,40%,0,
655,гранта цена 2023 новая,20%,да,89%,1,
656,рено дастер купить бу,80%,да,100%,1,
657,джентра дэу,10%,да,23%,-1,
658,kia k3,30%,да,34%,-1,
659,ку 7 ауди,60%,да,52%,0,
660,москвич цена 2023,20%,да,62%,0,
661,2104,75%,да,31%,-1,
662,корейские автомобили,60%,да,66%,1,
663,цена jac j7,60%,да,97%,1,
664,bmw 4 4,30%,да,38%,0,
665,банан машина,0%,нет,30%,-1,
666,м5 ф10 бмв,0%,нет,30%,-1,
667,chery tiggo 9,30%,да,40%,0,
668,х5 бмв е53,20%,да,24%,-1,
669,новые машины,80%,да,100%,1,
670,m6 bmw,0%,нет,33%,-1,
671,рено меган 3,20%,да,26%,-1,
672,хендай ай 40,30%,да,31%,-1,
673,gtc опель астра,20%,да,31%,-1,
674,mk geely,40%,да,37%,0,
675,fluence renault,10%,да,15%,-1,
676,велостер хендай,10%,да,26%,-1,
677,как расход топлива рассчитать,0%,нет,32%,-1,
678,бмв ай8,30%,да,37%,0,
679,желтые машины,20%,да,16%,-1,
680,w211,0%,нет,23%,-1,
681,машина хаммер,30%,да,54%,0,
682,хэтчбек шевроле лачетти,30%,да,32%,-1,
683,лада гранта фото,0%,нет,32%,-1,
684,нексия шевроле,10%,да,41%,0,
685,авто бу купить в днр,0%,нет,75%,1,
686,машина рено,60%,да,60%,0,
687,тойота пикап,50%,да,50%,0,
688,toyota passo,40%,да,35%,0,
689,мицубиси лансер 10,20%,да,23%,-1,
690,ламборгини цена,0%,нет,93%,1,
691,ист тойота,10%,да,30%,-1,
692,ford kuga,20%,да,38%,0,
693,grand starex hyundai,60%,да,60%,0,
694,авто ру нижний новгород,70%,нет,96%,1,
695,ваз 2114 хэтчбек,33%,да,39%,0,
696,купить супра тойота,30%,да,83%,1,
697,цефиро ниссан,30%,да,51%,0,
698,киа оптима купить,90%,да,100%,1,
699,5 гольф,40%,да,30%,-1,
700,хонда шатл,20%,да,31%,-1,
701,купить жук ниссан,90%,да,100%,1,
702,аутлендер 3,0%,нет,27%,-1,
703,glc,0%,нет,53%,0,
704,мотоцикл сколько стоит,70%,да,100%,1,
705,infiniti fx35,20%,да,23%,-1,
706,бмв 1,40%,да,40%,0,
707,rexton ssangyong,20%,да,23%,-1,
708,гольф 7,20%,да,23%,-1,
709,давление в шинах,0%,нет,2%,-1,
710,джили префейс,30%,да,50%,0,
711,мазда хэтчбек 3,20%,да,31%,-1,
712,ниссан примера р12,0%,нет,21%,-1,
713,нива новая цена 2023,20%,да,65%,0,
714,калина лада купить,60%,да,100%,1,
715,форд сиерра,10%,да,25%,-1,
716,s40 вольво,10%,да,33%,-1,
717,equinox chevrolet,10%,да,36%,0,
718,лексус rx350,20%,да,39%,0,
719,шевроле субурбан,0%,нет,39%,0,
720,monza chevrolet,10%,да,50%,0,
721,джип тойота,20%,да,51%,0,
722,джип машина,50%,да,49%,0,
723,ака машина,40%,да,49%,0,
724,дукати мотоцикл,40%,да,90%,1,
725,ваз 2101 купить,50%,да,100%,1,
726,c категория,0%,нет,0%,-1,
727,форд 4 фокус,10%,да,23%,-1,
728,honda s2000,0%,нет,21%,-1,
729,ауди е трон,40%,да,56%,0,
730,сколько стоит мотоцикл,70%,да,100%,1,
731,машина кадиллак,60%,да,45%,0,
732,пассат сс фольксваген,20%,да,34%,-1,
733,мазда gh 6,0%,нет,24%,-1,
734,форд маверик,10%,да,29%,-1,
735,купить тойота венза,60%,да,100%,1,
736,волга 2410,14%,да,22%,-1,
737,nissan terrano,40%,да,52%,0,
738,машина тесла цена,50%,да,100%,1,
739,октавия а5,20%,да,24%,-1,
740,святогор москвич,50%,да,41%,0,
741,восклицательный знак на машине,0%,нет,0%,-1,
742,автору спб,30%,нет,29%,-1,
743,майбах сколько стоит,0%,нет,96%,1,
744,hr v honda,30%,да,23%,-1,
745,ауди с6 а6,30%,да,23%,-1,
746,купить фольксваген транспортер,80%,да,98%,1,
747,rx7 mazda,0%,нет,21%,-1,
748,официальный дилер,90%,да,63%,0,
749,ауди б4 80,20%,да,23%,-1,
750,вейрон бугатти цена,0%,нет,41%,0,
751,wagoneer grand,0%,нет,46%,0,
752,s80 вольво,10%,да,23%,-1,
753,газ 2410,10%,да,15%,-1,
754,бугатти купить,40%,да,91%,1,
755,вольво хс90 купить,70%,да,99%,1,
756,745 бмв,0%,нет,22%,-1,
757,hyundai i20,20%,да,26%,-1,
758,маз 5440,0%,нет,65%,0,
759,дискавери 4 4,20%,да,23%,-1,
760,mazda rx8,10%,да,24%,-1,
761,3909 уаз,30%,да,44%,0,
762,что такое вылет диска,0%,нет,1%,-1,
763,е46,0%,нет,24%,-1,
764,каблук машина,10%,да,15%,-1,
765,продажа авто в луганске,0%,нет,71%,1,
766,купить авто на авто в москве,0%,нет,96%,1,
767,купить вольво хс60,80%,да,92%,1,
768,check engine,0%,нет,0%,-1,
769,машина челленджер,20%,да,43%,0,
770,купить фольксваген гольф,70%,да,93%,1,
771,киа спортейдж 4,20%,да,24%,-1,
772,а6 с7 ауди,10%,да,20%,-1,
773,американские машины,0%,нет,73%,1,
774,как зарядить аккумулятор правильно,0%,нет,0%,-1,
775,passat cc,30%,да,22%,-1,
776,ваз 2121 автомобиль,50%,да,38%,0,
777,купить мустанг,20%,да,72%,1,
778,купить тойота ленд крузер 200,70%,да,76%,1,
779,qx80 infiniti,60%,да,47%,0,
780,w140,0%,нет,15%,-1,
781,байон хендай,30%,да,33%,-1,
782,форд эскорт,20%,да,37%,0,
783,опель астра н,20%,да,22%,-1,
784,фольксваген б3 пассат,30%,да,25%,-1,
785,цена хендай солярис 2023,50%,да,98%,1,
786,купить хендай соната,90%,да,99%,1,
787,волга 21 газ,20%,да,18%,-1,
788,пунто фиат,10%,да,20%,-1,
789,смарт авто,40%,да,54%,0,
790,мерседес бенц е класс,80%,да,61%,0,
791,ситроен с3,20%,да,33%,-1,
792,мерседес w124,10%,да,29%,-1,
793,гелендваген цена,60%,да,83%,1,
794,купить авто на авто в россии,10%,да,95%,1,
795,кросстур хонда,20%,да,24%,-1,
796,murano nissan,50%,да,51%,0,
797,купить авто в нижнем новгороде с пробегом,20%,нет,98%,1,
798,мерседес w210,30%,да,22%,-1,
799,черная приора,0%,нет,16%,-1,
800,форд с макс,30%,да,31%,-1,
801,mercedes e200,30%,да,65%,0,
802,рено сандеро степвей купить,90%,да,100%,1,
803,шевроле экспресс,10%,да,47%,0,
804,купить li l9,60%,да,93%,1,
805,купить лада приора,70%,да,100%,1,
806,gl mercedes,50%,да,51%,0,
807,цена бмв х5,60%,да,75%,1,
808,виды машин,0%,нет,0%,-1,
809,устройство автомобиля,0%,нет,0%,-1,
810,камри 30,20%,да,24%,-1,
811,рестайлинг что такое,0%,нет,2%,-1,
812,шевроле машина,40%,да,46%,0,
813,skoda octavia a5,20%,да,22%,-1,
814,машина поло,70%,да,70%,1,
815,supra mk4,10%,да,14%,-1,
816,купить ваз 2111,40%,да,79%,1,
817,мазда рх 7,0%,нет,39%,0,
818,мазда 2,40%,да,38%,0,
819,куга,50%,да,45%,0,
820,краснодарский край авто ру,70%,нет,64%,0,
821,крайслер вояджер,30%,да,40%,0,
822,toyota vitz,20%,да,27%,-1,
823,epc на приборной панели,0%,нет,0%,-1,
824,марк 100,0%,нет,61%,0,
825,5 дверная нива,20%,да,57%,0,
826,тахо шевроле 2023,30%,да,60%,0,
827,bmw 5er,40%,да,44%,0,
828,авто ру воронеж авто с пробегом,90%,нет,100%,1,
829,бмв м5 ф90 цена,20%,да,72%,1,
830,ford 3 focus,20%,да,23%,-1,
831,firebird pontiac,10%,да,30%,-1,
832,трекер шевроле,30%,да,42%,0,
833,оценка авто онлайн,0%,нет,96%,1,
834,бмв х5 2023,0%,нет,56%,0,
835,fiesta ford,50%,да,37%,0,
836,маджентис киа,10%,да,26%,-1,
837,e90 bmw,30%,да,23%,-1,
838,универсал машина,70%,да,58%,0,
839,s1000rr bmw,0%,нет,45%,0,
840,авто в кредит,40%,да,70%,1,
841,атлас цена джили,80%,да,96%,1,
842,audi s8,30%,да,31%,-1,
843,авто купить в мариуполе,0%,нет,53%,0,
844,chrysler 300c,30%,да,22%,-1,
845,эклипс мицубиси,40%,да,44%,0,
846,хонда шаттл,20%,да,29%,-1,
847,джетта вс7,50%,да,53%,0,
848,а4 б5 ауди,20%,да,21%,-1,
849,акцент хендай купить,40%,да,98%,1,
850,хонда минивэн,0%,нет,51%,0,
851,yukon gmc,20%,да,47%,0,
852,мотоцикл в москве купить,10%,нет,99%,1,
853,давление в шинах какое должно быть,0%,нет,1%,-1,
854,е28 бмв,0%,нет,25%,-1,
855,гелендваген 2023,25%,да,47%,0,
856,cla mercedes,50%,да,54%,0,
857,volkswagen arteon,10%,да,15%,-1,
858,феррари сколько стоит,0%,нет,69%,1,
859,сколько стоит феррари,0%,нет,74%,1,
860,смз,10%,да,22%,-1,
861,авто ру авто с пробегом тюмень,80%,нет,92%,1,
862,7 жигули,20%,да,21%,-1,
863,как на автомате ездить,0%,нет,0%,-1,
864,купить тойота прадо,50%,да,91%,1,
865,shuttle honda,10%,да,22%,-1,
866,сцепление тормоз газ,0%,нет,0%,-1,
867,купить тундра тойота,80%,да,100%,1,
868,купить хонда степвагон,70%,да,100%,1,
869,машины немецкие,0%,нет,49%,0,
870,caliber dodge,30%,да,34%,-1,
871,aito m7,0%,нет,45%,0,
872,subaru wrx sti impreza,20%,да,35%,0,
873,победа автомобиль,20%,да,15%,-1,
874,с 63 с,0%,нет,39%,0,
875,nissan classic almera,20%,да,23%,-1,
876,ниссан джук,0%,нет,46%,0,
877,купить фольксваген пассат,60%,да,70%,1,
878,террано ниссан купить,80%,да,81%,1,
879,шевроле универсал лачетти,40%,да,41%,0,
880,машина фиат,40%,да,41%,0,
881,75 ровер,20%,да,20%,-1,
882,вайб понтиак,20%,да,31%,-1,
883,х 3,0%,нет,38%,0,
884,h1 хендай,50%,да,45%,0,
885,w140 мерседес,20%,да,22%,-1,
886,кадиллак эскалейд 2023 цена,50%,да,91%,1,
887,camaro,0%,нет,43%,0,
888,m3,0%,нет,31%,-1,
889,фьюжен форд,10%,да,24%,-1,
890,датчик заслонки дроссельной,0%,нет,25%,-1,
891,ламборгини урус цена 2023,0%,нет,51%,0,
892,mashinalar,0%,нет,29%,-1,
893,lexus 600 lx,40%,да,41%,0,
894,фольксваген бора 2023,30%,нет,56%,0,
895,элемент хонда,10%,да,27%,-1,
896,китайский джип,40%,да,41%,0,
897,зарядка аккумулятора,0%,нет,21%,-1,
898,седан приора,50%,да,49%,0,
899,тягач скания,50%,да,76%,1,
900,525 бмв,30%,да,37%,0,
901,s63 amg,0%,нет,33%,-1,
902,honda odyssey,30%,да,39%,0,
903,гольф фольксваген 4,30%,да,35%,0,
904,бмв i3,20%,да,22%,-1,
905,bmw m5 f10,10%,да,33%,-1,
906,авто продать,70%,да,93%,1,
907,гибридный автомобиль,20%,да,15%,-1,
908,w220,20%,да,23%,-1,
909,бмв х3 купить,80%,да,98%,1,
910,самара авто ру,60%,нет,51%,0,
911,автору дкп,0%,нет,20%,-1,
912,авто купить бу в москве и московской области,20%,нет,99%,1,
913,qx50 infiniti,50%,да,42%,0,
914,машина 11,50%,да,52%,0,
915,тойота спасио,10%,да,24%,-1,
916,x9 bmw,20%,да,15%,-1,
917,altezza toyota,20%,да,42%,0,
918,киа форте,20%,да,19%,-1,
919,саратов авто ру,70%,нет,98%,1,
920,dongfeng df6,50%,да,58%,0,
921,купить новое авто,90%,да,100%,1,
922,escape ford,30%,да,55%,0,
923,форд 3 фокус хэтчбек,20%,да,30%,-1,
924,авто в нижнем новгороде купить,10%,нет,97%,1,
925,cx 7 mazda,10%,да,31%,-1,
926,zekr 001,50%,да,42%,0,
927,машина логан,60%,да,53%,0,
928,мазда рх 8,0%,нет,26%,-1,
929,х рей лада цена,80%,да,99%,1,
930,купить ауди 100,50%,да,77%,1,
931,пикап мерседес,30%,да,35%,0,
932,внедорожник u8,0%,нет,52%,0,
933,ауди s7,30%,да,53%,0,
934,газ 24 купить,50%,да,65%,0,
935,bmw e70 x5,30%,да,23%,-1,
936,харлей дэвидсон купить,40%,да,86%,1,
937,2110 лада,67%,да,37%,0,
938,фольксваген тайрон,20%,да,35%,0,
939,альмера ниссан купить,70%,да,83%,1,
940,авто липецк авто с пробегом,100%,нет,100%,1,
941,машины старые,10%,да,15%,-1,
942,kawasaki ninja 400,10%,да,30%,-1,
943,2141 москвич купить,80%,да,73%,1,
944,хендай аванте,10%,да,19%,-1,
945,вито мерседес купить,90%,да,99%,1,
946,газ 3111,10%,да,26%,-1,
947,лексус 350,38%,да,65%,0,
948,мерседес бенц класс с,60%,да,54%,0,
949,мерседес бенц с класс,50%,да,53%,0,
950,ваз 21 14,30%,да,42%,0,
951,авто ру авто с пробегом владивосток,60%,нет,100%,1,
952,тойота рав 4 с пробегом купить,30%,да,100%,1,
953,машина аккорд,20%,да,33%,-1,
954,cla мерседес,40%,да,54%,0,
955,r34 skyline,0%,нет,23%,-1,
